"Event Time","Exit Event ID","POS Transaction ID","EPC","Site Code","Read Point","Last Read Time","Product Code","Color","Size","Manuf","Article","Ref Number","Style","att1","att2"
"2022-09-08T21:18:20Z","Event ID 9","POS Transaction ID 2","EPC 4","SiteCode9","READ POINT 3","2023-03-31T15:25:55Z","Product 2","Blue","M","Nike","Artical4","Ref8","Style3","check1","att2"
"2021-09-16T18:47:09Z","Event ID 8","POS Transaction ID 5","EPC 2","SiteCode8","READ POINT 1","2022-09-21T11:40:13Z","Product 2","Green","XL","Madame","Article8","Ref3","Style6","check2","att2"
"2022-12-30T23:15:43Z","Event ID 4","POS Transaction ID 2","EPC 2","SiteCode14","READ POINT 1","2023-04-09T15:33:27Z","Product 5","Pink","L","Lee Cooper","Article3","Ref3","Style3","check2","att2"
"2023-04-16T11:38:43Z","Event ID 2","POS Transaction ID 2","EPC 2","SiteCode13","READ POINT 3","2023-05-26T14:04:28Z","Product 3","Orange","XXXL","Bata","Artical4","Ref1","Style3","check3","att3"
"2021-08-04T08:32:34Z","Event ID 5","POS Transaction ID 1","EPC 1","SiteCode7","READ POINT 5","2023-02-13T15:43:59Z","Product 4","Red","XXL","Bata","Article1","Ref3","Style4","check3","atts"
"2022-10-18T13:23:12Z","Event ID 9","POS Transaction ID 2","EPC 2","SiteCode15","READ POINT 5","2022-09-28T00:32:01Z","Product 3","Yellow","M","Bata","Article2","Ref6","Style2","check2","att2"
"2021-03-01T07:44:54Z","Event ID 5","POS Transaction ID 3","EPC 4","SiteCode13","READ POINT 3","2023-04-26T08:53:48Z","Product 3","Red","XL","Adidas","Article3","Ref3","Style8","check2","att2"
"2022-07-17T03:18:38Z","Event ID 4","POS Transaction ID 3","EPC 2","SiteCode6","READ POINT 3","2023-02-05T17:57:50Z","Product 5","Black","XXS","Bata","Article8","Ref6","Style5","check1","att4"
"2021-09-08T04:42:59Z","Event ID 9","POS Transaction ID 5","EPC 3","SiteCode7","READ POINT 1","2022-09-27T01:21:03Z","Product 5","Green","M","Lee Cooper","Article8","Ref5","Style4","check2","atts"
"2021-05-08T01:52:11Z","Event ID 8","POS Transaction ID 4","EPC 1","SiteCode3","READ POINT 1","2022-08-02T19:09:43Z","Product 5","Red","XXXL","Adidas","Article6","Ref2","Style5","check1","att2"
"2022-12-16T02:52:26Z","Event ID 8","POS Transaction ID 1","EPC 4","SiteCode11","READ POINT 5","2022-09-30T09:43:14Z","Product 5","Green","L","Lee Cooper","Article2","Ref8","Style5","check3","att2"
"2023-01-22T01:00:36Z","Event ID 1","POS Transaction ID 1","EPC 1","SiteCode1","READ POINT 2","2022-06-10T14:25:06Z","Product 3","Green","S","Nike","Article7","Ref2","Style7","check3","att4"
"2022-04-08T16:54:13Z","Event ID 9","POS Transaction ID 2","EPC 4","SiteCode4","READ POINT 3","2023-03-28T15:06:03Z","Product 2","Yellow","XXL","Puma","Artical4","Ref3","Style3","check1","att2"
"2023-02-03T14:07:31Z","Event ID 3","POS Transaction ID 2","EPC 4","SiteCode3","READ POINT 3","2023-05-29T01:34:04Z","Product 3","Blue","XS","Zara","Article6","Ref2","Style6","check2","att4"
"2021-08-11T21:51:59Z","Event ID 9","POS Transaction ID 6","EPC 3","SiteCode11","READ POINT 4","2022-12-13T21:12:58Z","Product 2","Pink","XXXL","Bata","Article8","Ref2","Style7","check3","atts"
"2022-02-24T05:49:08Z","Event ID 8","POS Transaction ID 5","EPC 5","SiteCode2","READ POINT 5","2023-04-22T08:57:51Z","Product 1","Blue","S","Lee Cooper","Article1","Ref3","Style6","check1","att2"
"2023-04-03T00:14:45Z","Event ID 4","POS Transaction ID 5","EPC 2","SiteCode11","READ POINT 4","2023-03-26T11:21:34Z","Product 1","Red","XXS","Lee Cooper","Article3","Ref1","Style7","check2","atts"
"2020-09-10T09:36:11Z","Event ID 4","POS Transaction ID 3","EPC 4","SiteCode2","READ POINT 3","2023-04-22T20:24:17Z","Product 2","Yellow","S","Adidas","Article8","Ref2","Style8","check2","att3"
"2021-06-19T21:54:35Z","Event ID 5","POS Transaction ID 3","EPC 1","SiteCode2","READ POINT 1","2023-01-03T03:15:38Z","Product 1","Blue","M","Zara","Article5","Ref8","Style5","check3","att2"
"2022-02-08T22:20:46Z","Event ID 9","POS Transaction ID 3","EPC 3","SiteCode6","READ POINT 1","2022-07-06T00:55:42Z","Product 1","Blue","XL","Madame","Article6","Ref7","Style7","check1","atts"
"2022-08-16T23:54:26Z","Event ID 4","POS Transaction ID 6","EPC 2","SiteCode8","READ POINT 1","2023-01-17T04:33:57Z","Product 1","Pink","S","Puma","Article7","Ref4","Style4","check1","atts"
"2021-08-20T02:19:39Z","Event ID 2","POS Transaction ID 4","EPC 5","SiteCode9","READ POINT 3","2022-07-13T00:10:21Z","Product 4","Blue","XXXL","Bata","Article5","Ref4","Style2","check1","atts"
"2021-01-31T08:32:02Z","Event ID 8","POS Transaction ID 5","EPC 1","SiteCode11","READ POINT 5","2022-06-11T16:29:26Z","Product 2","Orange","XXXL","Puma","Article2","Ref6","Style8","check1","att4"
"2021-10-03T13:25:55Z","Event ID 3","POS Transaction ID 2","EPC 1","SiteCode4","READ POINT 2","2022-09-13T06:20:38Z","Product 1","Green","XL","Lee Cooper","Article7","Ref8","Style7","check2","att4"
"2021-07-22T19:07:57Z","Event ID 9","POS Transaction ID 2","EPC 2","SiteCode13","READ POINT 3","2022-07-17T12:44:32Z","Product 3","Blue","XXS","Zara","Article5","Ref7","Style1","check3","atts"
"2022-10-09T12:51:52Z","Event ID 4","POS Transaction ID 4","EPC 3","SiteCode6","READ POINT 2","2022-12-05T11:35:21Z","Product 3","Pink","XXXL","Adidas","Article8","Ref8","Style1","check3","att2"
"2020-07-04T10:42:36Z","Event ID 5","POS Transaction ID 6","EPC 3","SiteCode14","READ POINT 2","2022-07-09T12:21:20Z","Product 1","Orange","S","Bata","Article3","Ref1","Style5","check2","att2"
"2021-11-22T09:02:50Z","Event ID 4","POS Transaction ID 1","EPC 4","SiteCode7","READ POINT 3","2022-12-23T08:35:55Z","Product 1","Black","XL","Adidas","Article6","Ref6","Style3","check2","atts"
"2021-09-02T07:42:16Z","Event ID 8","POS Transaction ID 6","EPC 2","SiteCode14","READ POINT 1","2022-10-29T11:56:18Z","Product 5","Red","XXS","Madame","Article3","Ref5","Style4","check1","atts"
"2022-03-18T02:36:55Z","Event ID 6","POS Transaction ID 2","EPC 5","SiteCode5","READ POINT 2","2023-05-12T05:29:08Z","Product 5","Red","XXL","Lee Cooper","Article3","Ref8","Style6","check2","atts"
"2023-04-30T05:34:20Z","Event ID 2","POS Transaction ID 6","EPC 5","SiteCode3","READ POINT 5","2022-07-25T19:15:06Z","Product 5","Orange","XXS","Zara","Artical4","Ref6","Style2","check1","att3"
"2023-04-30T13:18:21Z","Event ID 4","POS Transaction ID 2","EPC 4","SiteCode1","READ POINT 4","2023-01-04T00:34:17Z","Product 5","Pink","XS","Madame","Article2","Ref8","Style5","check2","atts"
"2022-07-29T07:11:35Z","Event ID 4","POS Transaction ID 3","EPC 1","SiteCode11","READ POINT 4","2023-03-09T01:17:07Z","Product 1","Yellow","XL","Puma","Article1","Ref4","Style5","check2","att3"
"2022-08-30T10:54:46Z","Event ID 6","POS Transaction ID 3","EPC 1","SiteCode5","READ POINT 3","2022-07-04T03:38:25Z","Product 1","White","XXS","Adidas","Article2","Ref2","Style5","check3","atts"
"2022-09-14T04:42:48Z","Event ID 2","POS Transaction ID 2","EPC 3","SiteCode6","READ POINT 2","2022-09-28T12:33:00Z","Product 3","White","XXXL","Lee Cooper","Article2","Ref6","Style3","check1","att2"
"2021-07-27T15:44:04Z","Event ID 2","POS Transaction ID 6","EPC 1","SiteCode3","READ POINT 1","2022-10-02T09:36:20Z","Product 5","Yellow","XL","Madame","Article7","Ref1","Style7","check3","att2"
"2021-11-15T02:51:28Z","Event ID 8","POS Transaction ID 4","EPC 1","SiteCode7","READ POINT 2","2022-10-25T10:01:58Z","Product 5","Black","XXXL","Lee Cooper","Article1","Ref3","Style3","check2","att4"
"2023-02-16T14:29:38Z","Event ID 5","POS Transaction ID 1","EPC 3","SiteCode5","READ POINT 1","2023-01-13T21:59:40Z","Product 5","Pink","XL","Lee Cooper","Article6","Ref4","Style1","check2","atts"
"2022-03-02T18:45:46Z","Event ID 4","POS Transaction ID 4","EPC 2","SiteCode1","READ POINT 4","2022-06-30T14:49:02Z","Product 2","Blue","S","Adidas","Article3","Ref4","Style2","check2","att2"
"2022-03-01T23:41:55Z","Event ID 3","POS Transaction ID 2","EPC 2","SiteCode14","READ POINT 4","2022-10-21T12:12:05Z","Product 5","White","XXS","Lee Cooper","Artical4","Ref5","Style4","check2","att3"
"2022-02-19T12:28:33Z","Event ID 4","POS Transaction ID 1","EPC 3","SiteCode6","READ POINT 4","2022-12-22T10:14:02Z","Product 5","Red","XL","Zara","Article2","Ref7","Style7","check3","att3"
"2022-05-09T04:05:56Z","Event ID 6","POS Transaction ID 6","EPC 5","SiteCode9","READ POINT 4","2022-06-20T04:29:58Z","Product 5","Pink","M","Bata","Article1","Ref5","Style4","check1","atts"
"2021-05-08T03:17:23Z","Event ID 1","POS Transaction ID 3","EPC 2","SiteCode15","READ POINT 3","2022-12-19T22:49:32Z","Product 3","Black","XXL","Madame","Article6","Ref5","Style7","check1","att4"
"2021-12-22T12:06:59Z","Event ID 6","POS Transaction ID 4","EPC 1","SiteCode3","READ POINT 1","2023-03-26T14:54:37Z","Product 1","White","XXL","Puma","Article2","Ref2","Style8","check3","att2"
"2021-12-09T13:52:24Z","Event ID 4","POS Transaction ID 2","EPC 2","SiteCode8","READ POINT 1","2022-12-09T06:16:11Z","Product 4","White","XXXL","Bata","Article2","Ref7","Style3","check1","att3"
"2022-07-23T14:28:08Z","Event ID 1","POS Transaction ID 3","EPC 5","SiteCode10","READ POINT 5","2022-12-18T02:09:52Z","Product 5","Green","XXS","Puma","Article5","Ref7","Style3","check3","atts"
"2022-05-28T14:02:47Z","Event ID 5","POS Transaction ID 1","EPC 4","SiteCode5","READ POINT 5","2022-08-10T09:31:44Z","Product 3","Yellow","XXL","Zara","Article5","Ref6","Style1","check3","att2"
"2020-11-05T06:53:52Z","Event ID 4","POS Transaction ID 3","EPC 2","SiteCode9","READ POINT 1","2023-02-05T10:06:21Z","Product 2","Pink","XXXL","Zara","Article6","Ref2","Style8","check3","att3"
"2022-10-02T04:57:47Z","Event ID 4","POS Transaction ID 3","EPC 4","SiteCode4","READ POINT 1","2022-11-09T10:18:11Z","Product 2","Yellow","XS","Madame","Artical4","Ref8","Style1","check1","att4"
"2021-09-07T04:16:54Z","Event ID 4","POS Transaction ID 5","EPC 1","SiteCode10","READ POINT 2","2022-12-08T02:44:32Z","Product 4","Green","XL","Lee Cooper","Article6","Ref5","Style8","check1","att4"
"2022-10-14T19:55:40Z","Event ID 6","POS Transaction ID 5","EPC 2","SiteCode11","READ POINT 1","2023-01-18T07:47:59Z","Product 5","Orange","M","Bata","Article8","Ref8","Style6","check2","att2"
"2020-08-13T16:20:47Z","Event ID 1","POS Transaction ID 4","EPC 4","SiteCode4","READ POINT 2","2022-09-03T12:08:59Z","Product 2","Black","M","Lee Cooper","Article8","Ref3","Style6","check3","att3"
"2022-01-21T21:55:53Z","Event ID 3","POS Transaction ID 5","EPC 5","SiteCode7","READ POINT 4","2022-10-28T19:52:04Z","Product 3","Orange","XXS","Lee Cooper","Article3","Ref8","Style1","check3","att4"
"2020-10-03T10:41:14Z","Event ID 2","POS Transaction ID 4","EPC 3","SiteCode2","READ POINT 3","2023-03-06T20:04:10Z","Product 4","Orange","XL","Puma","Article3","Ref4","Style3","check3","atts"
"2021-07-16T04:28:22Z","Event ID 2","POS Transaction ID 5","EPC 1","SiteCode2","READ POINT 2","2023-03-16T16:22:31Z","Product 1","Red","XXL","Bata","Article5","Ref6","Style7","check2","att2"
"2021-04-03T05:03:04Z","Event ID 4","POS Transaction ID 5","EPC 2","SiteCode7","READ POINT 1","2022-06-01T16:58:34Z","Product 5","Green","S","Puma","Article6","Ref8","Style1","check2","att2"
"2021-03-17T15:39:58Z","Event ID 8","POS Transaction ID 3","EPC 4","SiteCode14","READ POINT 4","2023-04-04T04:35:17Z","Product 1","Green","XS","Puma","Article2","Ref6","Style6","check1","att2"
"2023-03-24T19:45:32Z","Event ID 4","POS Transaction ID 2","EPC 2","SiteCode9","READ POINT 5","2023-03-24T03:54:00Z","Product 3","Green","S","Puma","Article7","Ref3","Style3","check2","att3"
"2020-06-20T14:03:27Z","Event ID 4","POS Transaction ID 5","EPC 1","SiteCode10","READ POINT 5","2022-10-23T11:07:37Z","Product 4","Red","XXXL","Lee Cooper","Article5","Ref3","Style8","check2","att2"
"2023-05-29T22:30:27Z","Event ID 1","POS Transaction ID 2","EPC 5","SiteCode14","READ POINT 5","2023-01-26T04:37:43Z","Product 2","Orange","M","Lee Cooper","Article5","Ref3","Style4","check1","att2"
"2022-03-04T05:37:52Z","Event ID 9","POS Transaction ID 6","EPC 5","SiteCode3","READ POINT 5","2022-11-23T23:39:03Z","Product 1","Green","L","Lee Cooper","Article2","Ref8","Style1","check2","atts"
"2022-02-12T23:26:45Z","Event ID 4","POS Transaction ID 5","EPC 3","SiteCode15","READ POINT 5","2022-06-11T09:58:10Z","Product 1","Yellow","L","Adidas","Article8","Ref5","Style6","check1","att4"
"2022-08-24T21:59:45Z","Event ID 7","POS Transaction ID 5","EPC 2","SiteCode12","READ POINT 3","2022-07-15T14:22:47Z","Product 3","Pink","M","Puma","Article7","Ref6","Style6","check2","att2"
"2021-03-01T02:14:08Z","Event ID 8","POS Transaction ID 4","EPC 1","SiteCode1","READ POINT 3","2023-02-11T14:57:51Z","Product 2","Pink","L","Zara","Article7","Ref2","Style2","check3","atts"
"2021-02-17T08:41:46Z","Event ID 3","POS Transaction ID 5","EPC 2","SiteCode7","READ POINT 1","2022-10-05T21:14:49Z","Product 4","White","M","Puma","Artical4","Ref7","Style2","check2","att4"
"2022-03-16T13:01:26Z","Event ID 1","POS Transaction ID 6","EPC 5","SiteCode7","READ POINT 5","2023-05-05T15:35:53Z","Product 3","Pink","L","Adidas","Article5","Ref8","Style8","check2","att2"
"2020-08-11T00:06:22Z","Event ID 6","POS Transaction ID 6","EPC 3","SiteCode4","READ POINT 3","2022-09-30T18:32:09Z","Product 1","Pink","XXS","Bata","Article5","Ref3","Style2","check3","att2"
"2023-01-28T12:43:04Z","Event ID 1","POS Transaction ID 2","EPC 1","SiteCode11","READ POINT 5","2023-05-31T01:50:21Z","Product 5","White","XL","Nike","Article7","Ref3","Style7","check2","att4"
"2021-01-28T10:10:30Z","Event ID 2","POS Transaction ID 2","EPC 5","SiteCode11","READ POINT 2","2023-03-10T13:44:07Z","Product 4","White","XS","Lee Cooper","Artical4","Ref3","Style8","check3","att3"
"2021-11-08T19:44:29Z","Event ID 1","POS Transaction ID 2","EPC 5","SiteCode12","READ POINT 4","2023-02-18T23:02:19Z","Product 5","Red","L","Lee Cooper","Article1","Ref5","Style3","check2","att3"
"2021-01-23T00:25:10Z","Event ID 6","POS Transaction ID 6","EPC 1","SiteCode2","READ POINT 2","2022-09-03T04:21:18Z","Product 1","Yellow","XXL","Lee Cooper","Article2","Ref8","Style3","check2","att4"
"2022-07-11T22:27:06Z","Event ID 8","POS Transaction ID 5","EPC 5","SiteCode8","READ POINT 1","2023-06-08T11:09:56Z","Product 4","Green","XXS","Puma","Article7","Ref5","Style6","check1","atts"
"2021-08-20T16:43:21Z","Event ID 7","POS Transaction ID 5","EPC 3","SiteCode14","READ POINT 2","2022-07-13T01:11:45Z","Product 2","Blue","XXXL","Madame","Article7","Ref3","Style1","check1","att4"
"2021-12-12T03:39:18Z","Event ID 6","POS Transaction ID 5","EPC 4","SiteCode8","READ POINT 1","2022-10-06T21:46:22Z","Product 1","Black","XXL","Bata","Article3","Ref8","Style5","check1","att3"
"2022-10-06T00:34:36Z","Event ID 3","POS Transaction ID 4","EPC 4","SiteCode10","READ POINT 3","2023-04-07T09:19:35Z","Product 5","Red","M","Madame","Article3","Ref8","Style8","check3","att4"
"2022-10-23T06:01:23Z","Event ID 2","POS Transaction ID 4","EPC 2","SiteCode15","READ POINT 4","2022-06-06T18:42:27Z","Product 3","Black","M","Nike","Artical4","Ref7","Style8","check2","atts"
"2020-07-17T12:44:23Z","Event ID 5","POS Transaction ID 2","EPC 2","SiteCode8","READ POINT 1","2023-05-02T14:23:20Z","Product 4","Yellow","S","Puma","Article1","Ref8","Style1","check3","att2"
"2020-11-16T18:46:58Z","Event ID 7","POS Transaction ID 2","EPC 5","SiteCode15","READ POINT 2","2023-01-28T06:31:58Z","Product 4","Yellow","XXXL","Lee Cooper","Article5","Ref1","Style2","check2","atts"
"2020-08-27T08:48:02Z","Event ID 7","POS Transaction ID 2","EPC 3","SiteCode1","READ POINT 2","2023-02-05T02:00:31Z","Product 2","Pink","XS","Zara","Article7","Ref2","Style6","check2","att2"
"2020-08-20T14:03:58Z","Event ID 6","POS Transaction ID 5","EPC 5","SiteCode7","READ POINT 3","2023-06-12T05:05:40Z","Product 5","Orange","XXXL","Madame","Article8","Ref3","Style4","check2","att2"
"2020-09-24T15:25:21Z","Event ID 2","POS Transaction ID 4","EPC 1","SiteCode8","READ POINT 4","2022-07-09T19:12:42Z","Product 1","White","XXL","Bata","Article6","Ref3","Style8","check3","att3"
"2023-05-27T20:06:20Z","Event ID 2","POS Transaction ID 5","EPC 1","SiteCode11","READ POINT 1","2023-03-23T04:03:20Z","Product 4","Yellow","XL","Puma","Article2","Ref5","Style1","check1","att4"
"2022-06-28T04:10:02Z","Event ID 3","POS Transaction ID 2","EPC 1","SiteCode3","READ POINT 1","2023-05-30T12:44:20Z","Product 4","Black","M","Zara","Artical4","Ref1","Style5","check3","atts"
"2020-10-23T13:27:55Z","Event ID 9","POS Transaction ID 3","EPC 1","SiteCode3","READ POINT 1","2022-11-21T15:41:53Z","Product 5","White","XXXL","Bata","Article8","Ref1","Style8","check1","atts"
"2021-10-04T06:01:38Z","Event ID 4","POS Transaction ID 6","EPC 4","SiteCode7","READ POINT 2","2022-08-15T20:51:28Z","Product 3","White","XS","Lee Cooper","Article5","Ref5","Style8","check1","att4"
"2023-03-17T15:05:02Z","Event ID 7","POS Transaction ID 2","EPC 5","SiteCode1","READ POINT 2","2022-10-20T11:15:22Z","Product 1","Green","L","Adidas","Article1","Ref7","Style8","check2","att3"
"2020-07-27T11:25:06Z","Event ID 2","POS Transaction ID 2","EPC 3","SiteCode10","READ POINT 2","2022-12-24T03:43:44Z","Product 4","Blue","XXXL","Bata","Article8","Ref1","Style1","check2","att4"
"2022-02-04T03:31:59Z","Event ID 1","POS Transaction ID 4","EPC 2","SiteCode3","READ POINT 1","2023-01-02T02:12:32Z","Product 1","Yellow","M","Puma","Article1","Ref1","Style2","check2","att4"
"2020-07-11T02:46:31Z","Event ID 1","POS Transaction ID 1","EPC 1","SiteCode11","READ POINT 1","2022-12-19T18:51:39Z","Product 5","White","XXS","Zara","Article3","Ref3","Style1","check2","att2"
"2021-08-14T06:44:55Z","Event ID 1","POS Transaction ID 1","EPC 2","SiteCode9","READ POINT 1","2022-11-14T07:48:44Z","Product 1","Red","L","Bata","Article2","Ref3","Style2","check3","atts"
"2021-02-09T17:05:25Z","Event ID 6","POS Transaction ID 1","EPC 2","SiteCode12","READ POINT 2","2023-03-30T05:42:14Z","Product 4","Pink","XS","Nike","Article8","Ref3","Style3","check1","att4"
"2022-01-05T22:13:03Z","Event ID 8","POS Transaction ID 1","EPC 5","SiteCode4","READ POINT 3","2022-06-02T09:21:27Z","Product 5","Blue","M","Nike","Article5","Ref7","Style3","check1","att4"
"2021-08-27T07:42:03Z","Event ID 3","POS Transaction ID 4","EPC 4","SiteCode14","READ POINT 2","2022-06-13T12:17:26Z","Product 5","Black","XL","Puma","Article2","Ref8","Style2","check3","atts"
"2023-03-13T20:01:30Z","Event ID 1","POS Transaction ID 4","EPC 4","SiteCode5","READ POINT 4","2023-01-25T21:41:05Z","Product 4","Black","S","Zara","Artical4","Ref7","Style1","check2","atts"
"2020-12-08T13:02:58Z","Event ID 4","POS Transaction ID 6","EPC 2","SiteCode11","READ POINT 4","2022-06-18T00:26:38Z","Product 4","Pink","XL","Zara","Article2","Ref8","Style6","check3","att4"
"2022-10-15T20:42:14Z","Event ID 5","POS Transaction ID 4","EPC 2","SiteCode4","READ POINT 3","2022-09-13T07:05:15Z","Product 1","Black","S","Bata","Article5","Ref5","Style2","check3","atts"
"2021-06-16T20:39:39Z","Event ID 1","POS Transaction ID 2","EPC 2","SiteCode10","READ POINT 3","2022-11-18T21:28:53Z","Product 2","White","XL","Madame","Article1","Ref8","Style3","check3","att2"
"2020-12-22T04:29:19Z","Event ID 4","POS Transaction ID 3","EPC 4","SiteCode10","READ POINT 3","2022-10-07T14:43:58Z","Product 2","Yellow","XXXL","Nike","Article6","Ref1","Style8","check1","att4"
"2022-07-25T04:48:33Z","Event ID 9","POS Transaction ID 4","EPC 2","SiteCode7","READ POINT 2","2022-07-17T23:29:26Z","Product 5","Blue","S","Adidas","Artical4","Ref7","Style7","check1","att3"
"2022-01-01T03:27:54Z","Event ID 8","POS Transaction ID 4","EPC 5","SiteCode1","READ POINT 4","2022-08-10T13:06:48Z","Product 3","Black","XXS","Puma","Article2","Ref6","Style6","check1","att4"
"2021-07-13T19:21:51Z","Event ID 2","POS Transaction ID 4","EPC 3","SiteCode11","READ POINT 4","2023-03-11T10:21:42Z","Product 4","Green","XXL","Madame","Article6","Ref2","Style6","check3","att4"
"2022-11-03T13:16:59Z","Event ID 3","POS Transaction ID 6","EPC 1","SiteCode8","READ POINT 4","2022-12-08T16:59:30Z","Product 2","Blue","S","Bata","Article3","Ref3","Style6","check2","att3"
"2020-06-30T11:02:40Z","Event ID 4","POS Transaction ID 6","EPC 4","SiteCode5","READ POINT 5","2022-08-15T10:58:56Z","Product 1","Pink","S","Madame","Article6","Ref5","Style1","check3","att3"
"2023-02-03T11:09:41Z","Event ID 8","POS Transaction ID 5","EPC 1","SiteCode12","READ POINT 4","2022-11-01T21:09:29Z","Product 4","Yellow","XXXL","Adidas","Artical4","Ref7","Style3","check2","atts"
"2022-07-09T08:44:15Z","Event ID 1","POS Transaction ID 6","EPC 4","SiteCode6","READ POINT 2","2022-11-29T20:46:18Z","Product 4","Green","XS","Puma","Article6","Ref3","Style5","check1","atts"
"2023-02-16T02:55:39Z","Event ID 6","POS Transaction ID 2","EPC 2","SiteCode13","READ POINT 5","2022-10-09T12:52:51Z","Product 1","Red","S","Madame","Article6","Ref6","Style5","check1","att2"
"2021-12-14T07:29:32Z","Event ID 4","POS Transaction ID 2","EPC 4","SiteCode5","READ POINT 1","2023-02-16T13:55:32Z","Product 4","Green","XS","Puma","Article3","Ref2","Style8","check2","att4"
"2022-03-09T10:56:11Z","Event ID 6","POS Transaction ID 1","EPC 1","SiteCode6","READ POINT 4","2023-05-10T02:37:43Z","Product 5","Red","XXS","Bata","Article2","Ref4","Style4","check1","att3"
"2020-10-08T11:49:04Z","Event ID 5","POS Transaction ID 2","EPC 5","SiteCode14","READ POINT 4","2022-11-12T08:10:33Z","Product 2","Yellow","XL","Madame","Article6","Ref4","Style2","check1","atts"
